Professions,Results,Scores
teacher,M,0.827501497794618
pathologist,M,0.915255801842268
technician,M,0.7920266437686458
assistant,M,0.8974343244474823
hairdresser,N,1.0
Barber,N,1.0
cosmetologist,N,1.0
dietitian,M,0.8895838202945855
nutritionist,M,0.8478257258842969
clerk,M,0.8699662007525785
maid,M,0.7637690844694521
housekeeper,F,0.8990625383388541
nurse,N,1.0
mechanic,N,1.0
repairer,M,0.9857222222222223
specialist,M,0.8539967673938262
roofer,N,1.0
electrician,M,0.909855730287453
conductor,M,0.8476605727605728
plumber,M,0.9355844337735093
pipefitter,M,0.8886549981297881
carpenter,M,0.9281117018602313
firefighter,F,0.8612292320682413
salesperson,M,0.7946450744907266
director,M,0.899508471874712
photographer,M,0.9109323523698524
lifeguard,M,0.9395095605219732
manager,M,0.8615459419149822
agent,M,0.7879944177100002
assembler,N,1.0
scientist,N,1.0
writer,M,0.8238886734180852
statistician,M,0.7658365088070971
judge,M,0.826274187744473
bartender,N,1.0
dispatcher,F,0.8461803134217154
engineer,M,0.8920176374551375
doctor,N,1.0
physician,N,1.0
accountant,N,1.0
lawyer,N,1.0
architect,M,0.8542183437993035
developer,N,1.0
pharmacist,N,1.0
dentist,M,0.9557499619702472
artist,M,0.8713794497813847
secretary,M,0.8923716468716468
chef,N,1.0
actor,M,0.7703719631209128
actress,N,1.0
designer,M,0.893943036130536
waiter,M,0.9344568814899697
waitress,F,0.9335498308365182
psychologist,F,0.6151252603605546
therapist,N,1.0
cashier,N,1.0
journalist,M,0.6888640961979198
librarian,F,0.868878075146836
surgeon,M,0.9327503663003662
cook,N,1.0
butcher,N,1.0
officer,N,1.0
seamster,N,1.0
seamstress,M,0.8727195755633257
tailor,M,0.8453214054893622
broker,M,0.8430149025918182
steward,M,0.9512420634920634
airhostess,F,0.9753084415584415
farmer,N,1.0
athlete,N,1.0
anchor,M,0.8340117237877317
boss,M,0.9154440734075107
chairman,M,0.841134927630726
chairwoman,M,0.7293765799044437
chairperson,M,0.7556403393539028
fireman,M,0.8753091538091539
flight-attendant,M,0.8787313034188033
Miner,M,0.6913558487783052
Coach,M,0.8571020603117643
Chemist,M,0.8020856145622348
CEO,F,0.7853888888888889
clergywomen,N,1.0
clergymen,N,1.0
Clergy,M,0.7785051682021109
Dancer,M,0.8414989659033776
Cleaner,M,0.6810661468161467
Model,M,0.8100829725829726
Driver,M,0.8336903663051848
Caretaker,M,0.6727231495075723
Baker,M,0.5686666666666669
Optician,M,0.7929290674603175
midwife,N,1.0
surrogate,M,0.7675259482018384
kindergarden teacher,F,0.7345816183816184
lunch-lady,F,1.0
singer,M,0.8468903575664102
astronaut,M,0.7421724682481262
physicist,M,0.893729775205588
batsman,M,0.8651574956905839
