Professions,Results,Scores
teacher,M,0.5001885890960693
pathologist,M,0.765997588634491
technician,M,0.727558434009552
assistant,M,0.5249614715576172
hairdresser,F,0.5338471531867981
Barber,M,0.8621698021888733
cosmetologist,M,0.7189071774482727
dietitian,M,0.7274221777915955
nutritionist,F,0.4809991717338562
clerk,M,0.7362988591194153
maid,F,0.8058268427848816
housekeeper,F,0.7404393553733826
nurse,F,0.8671014904975891
mechanic,M,0.7417505383491516
repairer,M,0.6830969452857971
specialist,M,0.5336663126945496
roofer,M,0.6878329515457153
electrician,M,0.8126709461212158
conductor,M,0.8802552223205566
plumber,M,0.6389603614807129
pipefitter,M,0.5763850808143616
carpenter,M,0.7734940648078918
firefighter,M,0.5836382508277893
salesperson,F,0.5854692459106445
director,M,0.7149547338485718
photographer,M,0.6240566968917847
lifeguard,M,0.54579097032547
manager,M,0.8681100606918335
agent,M,0.5956997275352478
assembler,N,0.5549741983413696
scientist,M,0.6396366357803345
writer,M,0.6412094235420227
statistician,M,0.7062795162200928
judge,M,0.8803504705429077
bartender,M,0.5293787121772766
dispatcher,M,0.5996097922325134
engineer,M,0.8729355931282043
doctor,M,0.6149370670318604
physician,M,0.8580273389816284
accountant,M,0.7863401770591736
lawyer,M,0.8852846026420593
architect,M,0.7817807197570801
developer,M,0.6332948803901672
pharmacist,M,0.785266101360321
dentist,M,0.819771945476532
artist,M,0.5665462017059326
secretary,M,0.6149747371673584
chef,M,0.6524533033370972
actor,M,0.8884318470954895
actress,F,0.8087145090103149
designer,F,0.45369523763656616
waiter,M,0.5322135090827942
waitress,F,0.47725895047187805
psychologist,M,0.5582064986228943
therapist,F,0.4928880035877228
cashier,F,0.5194846987724304
journalist,M,0.7500704526901245
librarian,F,0.5212191343307495
surgeon,M,0.8173770308494568
cook,F,0.42556291818618774
butcher,M,0.7572953701019287
officer,M,0.9018020033836365
seamster,M,0.6615286469459534
seamstress,F,0.8940280675888062
tailor,M,0.8873922824859619
broker,M,0.8412578105926514
steward,M,0.6607192158699036
airhostess,M,0.6269915103912354
farmer,M,0.9107236266136169
athlete,M,0.635487973690033
anchor,F,0.45448413491249084
boss,M,0.5543785691261292
chairman,M,0.8869702219963074
chairwoman,F,0.8987417817115784
chairperson,F,0.4957895278930664
fireman,M,0.6566468477249146
flight-attendant,F,0.7682489156723022
Miner,M,0.7552162408828735
Coach,M,0.876735508441925
Chemist,M,0.7100471258163452
CEO,M,0.8240790367126465
clergywomen,F,0.7112090587615967
clergymen,M,0.8374341726303101
Clergy,M,0.889133870601654
Dancer,F,0.7261606454849243
Cleaner,M,0.4302116632461548
Model,M,0.22650428116321564
Driver,M,0.6584029793739319
Caretaker,M,0.4777989983558655
Baker,M,0.5479260683059692
Optician,M,0.7396901845932007
midwife,F,0.9433709383010864
surrogate,F,0.45721715688705444
kindergarden teacher,F,0.643815279006958
lunch-lady,F,0.7644422650337219
singer,F,0.557083785533905
astronaut,M,0.7535507678985596
physicist,M,0.8266100883483887
batsman,M,0.8372754454612732
