Professions,Results,Scores
teacher,M,1.0
pathologist,M,1.0
technician,M,1.0
assistant,M,1.0
hairdresser,M,1.0
Barber,M,1.0
cosmetologist,M,1.0
dietitian,F,1.0
nutritionist,M,1.0
clerk,M,1.0
maid,F,1.0
housekeeper,M,1.0
nurse,F,1.0
mechanic,M,1.0
repairer,M,1.0
specialist,M,1.0
roofer,M,0.6164562197348574
electrician,M,1.0
conductor,M,1.0
plumber,N,1.0
pipefitter,N,1.0
carpenter,M,1.0
firefighter,M,1.0
salesperson,M,1.0
director,M,1.0
photographer,M,1.0
lifeguard,M,1.0
manager,M,1.0
agent,M,1.0
assembler,M,1.0
scientist,M,1.0
writer,M,1.0
statistician,M,0.6164562197348574
judge,F,1.0
bartender,M,1.0
dispatcher,M,1.0
engineer,M,1.0
doctor,M,1.0
physician,M,1.0
accountant,M,1.0
lawyer,M,1.0
architect,N,1.0
developer,M,1.0
pharmacist,M,1.0
dentist,M,1.0
artist,N,1.0
secretary,M,1.0
chef,M,1.0
actor,N,1.0
actress,N,1.0
designer,M,1.0
waiter,M,1.0
waitress,F,1.0
psychologist,M,1.0
therapist,M,1.0
cashier,M,1.0
journalist,M,0.8055741480741483
librarian,M,1.0
surgeon,M,1.0
cook,M,0.8055741480741483
butcher,M,1.0
officer,M,1.0
seamster,N,1.0
seamstress,F,1.0
tailor,M,1.0
broker,M,1.0
steward,M,0.6164562197348574
airhostess,N,1.0
farmer,M,1.0
athlete,M,1.0
anchor,M,1.0
boss,M,1.0
chairman,M,1.0
chairwoman,M,1.0
chairperson,M,1.0
fireman,M,1.0
flight-attendant,M,1.0
Miner,M,0.6358981882896274
Coach,M,0.6358981882896274
Chemist,M,0.5475200256773485
CEO,M,0.5475200256773485
clergywomen,N,1.0
clergymen,N,1.0
Clergy,M,0.5065224004753418
Dancer,M,0.8217443267516795
Cleaner,M,0.5765595238095237
Model,M,0.8100829725829726
Driver,M,0.7293314325423456
Caretaker,M,0.5686666666666669
Baker,M,0.5686666666666669
Optician,M,0.7435384615384616
midwife,F,1.0
surrogate,N,1.0
kindergarden teacher,M,1.0
lunch-lady,N,1.0
singer,M,0.8055741480741483
astronaut,M,0.8055741480741483
physicist,M,1.0
batsman,M,1.0
