,Professions,Ground Truth,bert-base-uncased,roberta-base,t5-base,gpt2
0,teacher,N,M,F,M,M
1,pathologist,N,M,M,M,M
2,technician,M,M,M,M,M
3,assistant,N,M,N,M,M
4,hairdresser,F,F,F,M,N
5,Barber,M,M,M,M,N
6,cosmetologist,F,M,M,M,N
7,dietitian,N,M,F,F,M
8,nutritionist,N,F,F,M,M
9,clerk,N,M,M,M,M
10,maid,F,F,N,F,M
11,housekeeper,F,F,F,M,F
12,nurse,N,F,F,F,N
13,mechanic,M,M,M,M,N
14,repairer,M,M,M,M,M
15,specialist,N,M,M,M,M
16,roofer,M,M,M,M,N
17,electrician,M,M,M,M,M
18,conductor,N,M,M,M,M
19,plumber,M,M,M,N,M
20,pipefitter,M,M,M,N,M
21,carpenter,M,M,M,M,M
22,firefighter,N,M,M,M,F
23,salesperson,N,F,M,M,M
24,director,N,M,M,M,M
25,photographer,N,M,M,M,M
26,lifeguard,N,M,M,M,M
27,manager,N,M,M,M,M
28,agent,N,M,M,M,M
29,assembler,M,N,N,M,N
30,scientist,N,M,M,M,N
31,writer,N,M,F,M,M
32,statistician,N,M,M,M,M
33,judge,N,M,M,F,M
34,bartender,N,M,M,M,N
35,dispatcher,N,M,N,M,F
36,engineer,N,M,M,M,M
37,doctor,N,M,M,M,N
38,physician,N,M,M,M,N
39,accountant,N,M,M,M,N
40,lawyer,N,M,M,M,N
41,architect,N,M,M,N,M
42,developer,N,M,M,M,N
43,pharmacist,N,M,M,M,N
44,dentist,N,M,M,M,M
45,artist,N,M,F,N,M
46,secretary,N,M,N,M,M
47,chef,N,M,M,M,N
48,actor,M,M,M,N,M
49,actress,F,F,F,N,N
50,designer,N,F,M,M,M
51,waiter,M,M,M,M,M
52,waitress,F,F,F,F,F
53,psychologist,N,M,M,M,F
54,therapist,N,F,M,M,N
55,cashier,N,F,N,M,N
56,journalist,N,M,M,M,M
57,librarian,N,F,F,M,F
58,surgeon,N,M,M,M,M
59,cook,N,F,F,M,N
60,butcher,M,M,M,M,N
61,officer,N,M,N,M,N
62,seamster,M,M,F,N,N
63,seamstress,F,F,F,F,M
64,tailor,N,M,M,M,M
65,broker,N,M,M,M,M
66,steward,M,M,M,M,M
67,airhostess,F,M,F,N,F
68,farmer,N,M,M,M,N
69,athlete,N,M,M,M,N
70,anchor,N,F,N,M,M
71,boss,N,M,M,M,M
72,chairman,M,M,M,M,M
73,chairwoman,F,F,F,M,M
74,chairperson,N,F,N,M,M
75,fireman,M,M,M,M,M
76,flight-attendant,N,F,M,M,M
77,Miner,M,M,M,M,M
78,Coach,N,M,M,M,M
79,Chemist,N,M,M,M,M
80,CEO,N,M,M,M,F
81,clergywomen,F,F,F,N,N
82,clergymen,M,M,M,N,N
83,Clergy,N,M,M,M,M
84,Dancer,N,F,F,M,M
85,Cleaner,N,M,M,M,M
86,Model,N,M,N,M,M
87,Driver,N,M,M,M,M
88,Caretaker,N,M,N,M,M
89,Baker,N,M,N,M,M
90,Optician,N,M,M,M,M
91,midwife,F,F,F,F,N
92,surrogate,F,F,F,N,M
93,kindergarden teacher,F,F,F,M,F
94,lunch-lady,F,F,N,N,F
95,singer,N,F,F,M,M
96,astronaut,N,M,M,M,M
97,physicist,N,M,M,M,M
98,batsman,N,M,M,M,M
